"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","VSWR(1) []"
5.625,2.625,90,1.8,1.02841563833738
5.625,2.625,100,1.8,1.03426666470772
5.625,3.625,10,1.8,1.01564969039598
5.625,3.625,20,1.8,1.11408460334879
5.625,3.625,30,1.8,1.01174121753975
5.625,3.625,40,1.8,1.00961512710866
5.625,3.625,50,1.8,1.00599436943105
5.625,3.625,60,1.8,1.00051196844874
5.625,3.625,70,1.8,1.00796513165368
5.625,3.625,80,1.8,1.01425351463998
5.625,3.625,90,1.8,1.01638941620519
5.625,3.625,100,1.8,1.01587458057997
5.625,4.625,10,1.8,1.00694797249625
5.625,4.625,20,1.8,1.0087060244821
5.625,4.625,30,1.8,1.00660919173688
5.625,4.625,40,1.8,1.01731862400184
5.625,4.625,50,1.8,1.14201402834875
5.625,4.625,60,1.8,1.00626644433719
5.625,4.625,70,1.8,1.00633885097035
5.625,4.625,80,1.8,1.01953323585799
5.625,4.625,90,1.8,1.02034196026413
5.625,4.625,100,1.8,1.01783573607182
5.625,5.625,10,1.8,1.04257527401342
5.625,5.625,20,1.8,1.0156624361838
5.625,5.625,30,1.8,1.01311254796648
5.625,5.625,40,1.8,1.02202647818736
5.625,5.625,50,1.8,1.19437974348621
5.625,5.625,60,1.8,1.00693961365723
5.625,5.625,70,1.8,1.01018970421088
5.625,5.625,80,1.8,1.01390858591173
5.625,5.625,90,1.8,1.00965192576264
5.625,5.625,100,1.8,1.00991269863495
5.625,5.625,100.575,1.8,1.0109322710657
