"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","S(1,1) []"
3.625,0.625,40,1.8,-0.00980207202300998 - 0.100311634599584i
3.625,0.625,50,1.8,0.0596050629842684 - 0.074472021207876i
3.625,0.625,60,1.8,0.0922168516776167 - 0.0113933092632017i
3.625,0.625,70,1.8,0.0741811032659516 + 0.0580148936545015i
3.625,0.625,80,1.8,0.0124026350551922 + 0.0953089284110063i
3.625,0.625,90,1.8,-0.0606125945446192 + 0.0799442968452753i
3.625,0.625,100,1.8,-0.10406103126245 + 0.0252521697775799i
3.625,1.625,10,1.8,-0.0336650867038834 + 0.0230618257324782i
3.625,1.625,20,1.8,-0.039051005678887 - 0.0026317991515762i
3.625,1.625,30,1.8,-0.0285763637241901 - 0.0262934723247818i
3.625,1.625,40,1.8,-0.0154744995037539 - 0.025801171405772i
3.625,1.625,50,1.8,0.0204120000328314 - 0.0237924335332647i
3.625,1.625,60,1.8,0.0313651037444387 + 0.00173152515309851i
3.625,1.625,70,1.8,0.0191042027280692 + 0.0233267100099128i
3.625,1.625,80,1.8,-0.0596092262670721 + 0.0243122569567772i
3.625,1.625,90,1.8,-0.0256570953390399 + 0.0288936127542086i
3.625,1.625,100,1.8,-0.0518415405279343 + 0.00117626037510397i
3.625,2.625,10,1.8,-0.0179068925978078 + 0.00563026398232748i
3.625,2.625,20,1.8,-0.0242332077479406 - 0.00308989796124059i
3.625,2.625,30,1.8,-0.0130549897944211 - 0.0142907394647441i
3.625,2.625,40,1.8,-0.00654613020061534 - 0.0139626877675709i
3.625,2.625,50,1.8,0.00544640230394711 - 0.00490838758099398i
3.625,2.625,60,1.8,0.00691359120065593 + 0.00221227674289318i
3.625,2.625,70,1.8,0.0046249023657432 + 0.0105473706562098i
3.625,2.625,80,1.8,-0.019073086161447 - 0.000239947484167002i
3.625,2.625,90,1.8,-0.0183418943481457 + 0.00905841165528559i
3.625,2.625,100,1.8,-0.013050433946224 - 0.00604388182979589i
3.625,3.625,10,1.8,-0.0154881492248986 + 0.00243095594921735i
3.625,3.625,20,1.8,-0.0100397080680895 - 1.56698430898716E-05i
3.625,3.625,30,1.8,-0.00779115631994121 - 0.00548716261364949i
3.625,3.625,40,1.8,-0.00445499117011994 - 0.00321967826003311i
3.625,3.625,50,1.8,0.00548883443480053 - 0.00259889570134626i
